Name,Nation,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals against per 90,Save%,Clean Sheets %,Penalty Save %,Shoots on target percentage,Shoot on target per 90,Goals per shot,Average shoot distance,Pass completed,Pass completion,Progressive passing distance,Short pass completion,Medium pass completion,Long pass completion,Key passes,Pass in to final third,Pass in to penalty are,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost_x,Blocks,Sh,Pass,Int,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,att,Succ%,Tkld%,Carries,ProDist,ProgC,1/3,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%,transfer_value
Harry Wilson,wls WAL,"FW,MF",Fulham,28-047,22,10,1003.0,5,1,2,0,3.7,1.1,17,48,83,0.45,0.09,0.33,0.1,N/a,N/a,N/a,N/a,34.4,0.99,0.16,17.3,297,73.9,4995,85.4,78.5,42.9,19,25,13,1,48,3.32,27,0.27,2,14,9,15,6,13,1,12,5,516,9,67,185,273,48,24,9,41.7,299,693,17,18,8,14,5,342,83,10,20,1,38,50,4,18,18.2,€14.5M
Harry Winks,eng ENG,MF,Leicester City,29-095,22,17,1538.0,0,2,4,0,0.2,1.2,19,101,11,0.0,0.12,0.01,0.07,N/a,N/a,N/a,N/a,40.0,0.23,0.0,29.2,910,87.1,14101,92.2,91.2,57.9,17,110,7,5,101,2.28,29,0.18,2,24,11,30,17,19,7,12,9,1158,49,275,746,151,1,12,3,66.7,696,1522,19,13,0,13,8,827,11,9,13,0,34,106,8,6,57.1,€11.4M
Harvey Barnes,eng ENG,FW,Newcastle Utd,27-150,30,14,1503.0,9,4,0,0,6.6,3.9,80,72,172,0.54,0.24,0.39,0.23,N/a,N/a,N/a,N/a,32.7,1.08,0.16,15.0,420,78.8,5863,87.3,73.5,63.2,23,22,36,8,72,3.4,40,0.54,6,16,9,10,7,7,1,6,6,709,15,84,232,398,109,58,22,50.0,498,2160,80,41,44,26,20,567,172,11,20,5,41,49,5,14,26.3,€41.5M
Ian Maatsen,nl NED,DF,Aston Villa,23-059,26,8,957.0,1,2,2,0,0.8,2.7,27,40,91,0.09,0.19,0.07,0.25,N/a,N/a,N/a,N/a,29.4,0.47,0.06,22.3,530,81.8,8558,88.4,86.5,54.3,18,20,15,3,40,4.6,36,0.66,6,27,15,22,6,11,0,11,15,797,47,216,294,297,41,23,11,52.2,429,1037,27,15,11,20,21,486,91,9,9,3,48,61,8,6,57.1,€40.6M
Ibrahima Konaté,fr FRA,DF,Liverpool,25-348,28,27,2320.0,1,2,5,0,1.7,1.0,21,103,3,0.04,0.08,0.07,0.04,N/a,N/a,N/a,N/a,16.7,0.12,0.06,10.5,1581,90.3,29259,93.7,95.1,55.7,10,125,8,0,103,1.16,25,0.27,6,36,25,34,10,27,15,12,12,2005,211,854,1047,110,22,4,2,25.0,1184,3160,21,13,0,8,2,1454,3,26,18,0,0,86,72,28,72.0,€57.2M
Idrissa Gana Gueye,sn SEN,MF,Everton,35-224,34,32,2794.0,0,3,8,0,1.1,1.7,26,134,24,0.0,0.1,0.03,0.05,N/a,N/a,N/a,N/a,18.5,0.16,0.0,25.2,1116,86.5,18814,90.9,90.7,71.8,19,136,10,3,134,1.8,48,0.1,3,124,74,90,36,45,9,36,44,1640,69,385,943,321,20,36,17,47.2,781,1611,26,27,4,32,33,943,24,51,41,0,7,180,23,15,60.5,€5M
Igor,br BRA,DF,Brighton,27-090,12,9,903.0,0,0,4,0,0.0,0.2,9,44,0,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,14.1,628,92.1,11358,96.5,95.2,71.4,1,35,2,1,44,1.1,10,0.0,0,4,4,10,6,23,14,9,4,764,109,377,353,38,1,4,3,25.0,497,1782,9,14,0,1,0,568,0,9,6,0,2,40,8,6,57.1,
Iliman Ndiaye,sn SEN,FW,Everton,25-063,30,27,2252.0,7,0,3,0,5.2,1.6,81,50,115,0.28,0.0,0.21,0.06,N/a,N/a,N/a,N/a,40.6,0.52,0.16,17.4,543,80.8,8134,86.1,86.1,68.0,17,35,14,5,50,2.36,45,0.2,3,48,25,45,26,27,5,22,17,1000,34,202,411,435,77,137,63,46.7,575,2221,81,41,30,49,43,612,115,24,47,5,38,163,6,19,24.0,€25.7M
Illia Zabarnyi,ua UKR,DF,Bournemouth,22-249,33,32,2842.0,0,0,3,1,1.1,0.6,25,128,4,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,9.8,1262,81.6,26615,90.5,90.8,52.8,11,134,6,0,128,0.89,25,0.0,0,46,32,44,14,33,20,13,38,1869,218,860,961,69,13,8,5,25.0,1158,4451,25,20,0,14,3,1168,4,18,6,0,5,143,72,40,64.3,€58.8M
Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27-072,35,27,2482.0,7,4,4,0,9.1,7.1,69,79,169,0.25,0.15,0.33,0.26,N/a,N/a,N/a,N/a,50.0,0.91,0.14,13.2,459,66.2,6835,74.0,71.0,46.8,39,27,39,9,79,3.66,74,0.36,7,21,10,23,16,24,8,16,9,1007,43,165,377,475,124,55,17,52.7,555,1930,69,42,26,64,42,684,169,13,54,11,55,103,32,46,41.0,
Issa Diop,fr FRA,DF,Fulham,28-119,21,15,1339.0,0,0,2,0,0.5,0.1,6,25,3,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,40.0,0.13,0.0,10.7,663,87.5,12350,92.5,92.9,52.9,3,43,1,0,25,0.4,5,0.0,0,26,12,18,5,10,7,3,9,903,125,498,381,26,13,2,1,50.0,533,1216,6,2,0,9,2,617,3,10,4,0,1,45,20,12,62.5,€17.9M
